Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
Avocet Mining PLC,8824,Avocet Mining,45160,100,"[('Avocet Mining', 100), ('Avocet Mining (Oslo)', 95), ('Mining Corporation', 90), ('Mining Corporation', 90), ('OCE', 90), ('CET', 90), ('Avocet Mining (Stockholm)', 90), ('Avocet Mining (Non-NASDAQ OTC)', 90), ('Avocet Mining (Frankfurt)', 90), ('Avocet Mining (XETRA)', 90)]"
Blinkx PLC,8829,X,13869,90,"[('X', 90), ('BL', 90), ('KX', 90), ('NK', 90), ('Blinkx (XETRA)', 90), ('Telehublink', 82), ('Weblink International', 78), ('Belinka Holding', 75), ('Mobilink Telecom', 75), ('Blink Logic', 75)]"
Cape Intermediate Holdings PLC,8835,Axcan Intermediate Holdings Inc,70310,91,"[('Axcan Intermediate Holdings Inc', 91), ('Media Capital', 90), ('Inter', 90), ('Holdings', 90), ('Cape', 90), ('Media Capital', 90), ('Holdings', 90), ('Holdings', 90), ('Media Capital', 90), ('Media Capital', 90)]"
Coventry Building Society,8842,Polysteel Building Systems Suspended 10/06/92,11294,86,"[('Polysteel Building Systems Suspended 10/06/92', 86), ('Society Conces Autopista Interportuaria SA', 86), ('Braas Monier Building (XETRA) Gross Serv', 86), ('Chemicals for Modern Building International', 86), ('House Building', 86), ('Watania Building', 86), ('Hgii Marketing and Distribution of Building LT', 86), ('Kuwait Building Materials Manufacturing', 86), ('Sankei Building', 86), ('Punjab Building', 86)]"
Derbyshire Building Society,8849,Derby,33872,90,"[('Derby', 90), ('Shire', 90), ('Shire', 90), ('Polysteel Building Systems Suspended 10/06/92', 86), ('Chemicals for Modern Building International', 86), ('Egyptian Building', 86), ('House Building', 86), ('Mallorca Building', 86), ('Watania Building', 86), ('Building Resources', 86)]"
Commerzbank Holdings (UK) Limited,8854,Security Bank,200310,90,"[('Security Bank', 90), ('Holdings', 90), ('Holdings', 90), ('Security Bank', 90), ('Security Bank', 90), ('LDI Corporation', 90), ('Holdings', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
ECOFIN WATER & POWER OPPORTUNITIES PLC.,8858,Capital Power,156967,90,"[('Capital Power', 90), ('Capital Power', 90), ('Uniti', 90), ('Capital Power', 90), ('Capital Power', 90), ('Ecofin Water and Power Opportunities A', 89), ('Ecofin Water and Power Opportunities B', 89), ('Ecofin Water and Power Opportunities Ordinary', 89), ('Ecofin Water and Power Opportunities A ZDP', 89), ('Ecofin Water and Power Opportunities B ZDP', 89)]"
The Edinburgh Investment Trust plc,8859,Investment Trust Corporation,48177,90,"[('Investment Trust Corporation', 90), ('ENT', 90), ('Trust Invest', 90), ('Investment Trust Corporation', 90), ('Investment Trust Corporation', 90), ('Investment Trust Corporation', 90), ('INV', 90), ('NVE', 90), ('Armstrong Jones Investment Units Audi', 86), ('Boeblingen Investment Hong Kong and China', 86)]"
Findel PLC,8865,El Corporation,1533,90,"[('El Corporation', 90), ('Findel (Non-NASDAQ OTC)', 90), ('D&D', 86), ('F&F', 86), ('Findev', 83), ('Fintel', 83), ('Fine', 80), ('Finetol', 77), ('Delo', 77), ('Findexa', 77)]"
Halifax Limited,8873,Halifax,54898,100,"[('Halifax', 100), ('Halifax', 100), ('Halifax Development Merger Into 777683', 90), ('X', 90), ('IFA', 90), ('Halifax Building SOC', 90), ('Halifax Group PLC', 90), ('HAL Trust', 90), ('HAL Trust', 90), ('Capital A', 90)]"
Hitachi Capital (UK) PLC,8878,TAC,114047,90,"[('TAC', 90), ('ACH', 90), ('Hit', 90), ('Hi', 90), ('Hitachi', 90), ('IT', 90), ('Hitachi', 90), ('TAC', 90), ('Ta', 90), ('Hitachi Plant Technologies', 86)]"
INVESCO ASIA TRUST PLC,8885,Asia Capital,116969,90,"[('Asia Capital', 90), ('Asia Capital', 90), ('ASI', 90), ('Asia Capital', 90), ('INV', 90), ('Asia Capital', 90), ('IA', 90), ('Invesco', 90), ('NVE', 90), ('Invesco', 90)]"
JPMorgan American Investment Trust plc,8887,Investment Trust Corporation,48177,90,"[('Investment Trust Corporation', 90), ('Trust Invest', 90), ('Investment Trust Corporation', 90), ('Investment Trust Corporation', 90), ('Investment Trust Corporation', 90), ('American Capital', 90), ('American Capital', 90), ('American Capital', 90), ('American Capital', 90), (""American Plast 'B'"", 86)]"
M&G HIGH INCOME INVESTMENT TRUST P.L.C.,8899,Investment Trust Corporation,48177,90,"[('Investment Trust Corporation', 90), ('Trust Invest', 90), ('E-Invest', 90), ('Investment Trust Corporation', 90), ('Investment Trust Corporation', 90), ('Investment Trust Corporation', 90), ('A C N 059 457 279', 86), ('A C N 603 323 182', 86), ('A R C Industries', 86), ('Armstrong Jones Australian Growth Fund Income Units', 86)]"
Melrose plc,8902,Melrose,183228,100,"[('Melrose', 100), ('El Corporation', 90), ('Melrose Mining', 90), ('Rose', 90), ('Melrose Industries', 90), ('Melrose Resources', 90), ('Melrose Bancorp', 90), ('Capital M', 90), ('OS', 90), ('Melrose Industries', 90)]"
