Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
BANQUE POPULAIRE RIVES DE PARIS S.C.,8479,banque populaire rives de paris s.c.,banque,Banque Nationale de Paris CI,165344,93.2,banque populaire,Banque Populaire,106355,92.39999999999999,banque populaire rives,Banque Populaire,106355,92.39999999999999
BANQUE POPULAIRE VAL DE FRANCE,8484,banque populaire val de france,banque,Banque Populaire,106355,94.0,banque populaire,Banque Populaire,106355,94.0,banque populaire val,Banque Populaire,106355,94.0
Barclaycard Funding PLC,9074,barclaycard funding,barclaycard,Car,24933,85.4,barclaycard funding,Car,24933,85.4,barclaycard funding,Car,24933,85.4
Barclays Bank Delaware,22781,barclays bank delaware,barclays,Barclays Bank ADR 1:1,193303,94.8,barclays bank,Barclays Bank ADR 1:1,193303,94.8,barclays bank delaware,Barclays,124439,90.6
BARCLAYS BANK IRELAND PUBLIC LIMITED COMPANY,10959,barclays bank ireland public company,barclays,Barclays Bank Ipath Bloomberg Grains,139357,92.8,barclays bank,Barclays Bank Ipath Bloomberg Grains,139357,92.8,barclays bank ireland,Barclays,124439,87.2
Barclays Bank of South Africa Ltd,25580,barclays bank of south africa,barclays,Barclays Bank Units D ADR 1:1,193304,93.2,barclays bank,Barclays Bank Units D ADR 1:1,193304,93.2,barclays bank of,Barclays,124439,88.6
Barclays Bank PLC (Australian Branch),3441,barclays bank (australian branch),barclays,Barclays Bank ADR 1:1,193303,92.6,barclays bank,Barclays Bank ADR 1:1,193303,92.6,barclays bank (australian,Barclays,124439,87.8
BARCLAYS BANK UK PLC,9864,barclays bank uk,barclays,Barclays Bank ADR 1:1,193303,95.19999999999999,barclays bank,Barclays Bank ADR 1:1,193303,95.19999999999999,barclays bank uk,Barclays,124439,93.39999999999999
Barclays Bank Zambia Plc,25650,barclays bank zambia,barclays,Barclays Bank ADR 1:1,193303,94.6,barclays bank,Barclays Bank ADR 1:1,193303,94.6,barclays bank zambia,Barclays,124439,91.39999999999999
Barclays Capital (Cayman) Ltd,14683,barclays capital (cayman),barclays,USB Barclays 5Y ETF (Milan),292672,92.39999999999999,barclays capital,Barclays Capital Ipath Short Long Enhanced MSCI EAFE Index,142705,90.2,barclays capital (cayman),Barclays,124439,89.6
Barclays Financial LLC,21990,barclays financial,barclays,Barclays Cedear,148620,93.39999999999999,barclays financial,Financial,17539,93.39999999999999,barclays financial,Financial,17539,93.39999999999999
Barclays Investments & Loans (India) Ltd.,11531,barclays investments & loans (india),barclays,Barclays Global Investment Ireland,165129,93.8,barclays investments,Investments,42565,89.4,barclays investments &,Investments,42565,89.4
Barclays Overseas Investment Company B.V.,16169,barclays overseas investment company b.v.,barclays,Barclays Global Investment Ireland,165129,93.39999999999999,barclays overseas,Barclays,124439,86.6,barclays overseas investment,Investment Trust,26824,87.8
Barclays US Funding LLC,22168,barclays us funding,barclays,Barclays ADR (London),241255,93.0,barclays us,Barclays,124439,91.8,barclays us funding,Barclays,124439,91.8
"BBVA 3 FTPYME,Fondo de Titulizacion de Activos",8036,bbva 3 ftpymefondo de titulizacion de activos,bbva,BBVA - BMV Mexico Enlace RT Trac,173011,89.4,bbva 3,BBVA - BMV Mexico Enlace RT Trac,173011,75.80000000000001,bbva 3 ftpymefondo,Fonon,54425,68.0
BBVA Autos 1 Fondo de Titulizacion de Activos,8031,bbva autos 1 fondo de titulizacion de activos,bbva,BBVA - BMV Mexico Enlace RT Trac,173011,88.8,bbva autos,OS,112545,81.8,bbva autos 1,OS,112545,81.8
BBVA Autos 2 Fondo de Titulizacion de Activos,8053,bbva autos 2 fondo de titulizacion de activos,bbva,BBVA Capital Funding (XETRA),304736,88.8,bbva autos,OS,112545,81.8,bbva autos 2,OS,112545,81.8
BBVA Banco de Financiacion SA,8093,bbva banco de financiacion,bbva,BBVA Banco Frances,80425,93.6,bbva banco,BBVA Banco Frances,80425,93.6,bbva banco de,Security Banc,76741,85.4
BBVA BANCOMER SA Texas Branch,24200,bbva bancomer texas branch,bbva,BBVA Bancomer Mextrac,171651,96.19999999999999,bbva bancomer,BBVA Bancomer Mextrac,171651,96.19999999999999,bbva bancomer texas,BBVA Bancomer,24637,93.39999999999999
BBVA Bancomer Servicios SA,15595,bbva bancomer servicios,bbva,BBVA Bancomer Mextrac,171651,95.39999999999999,bbva bancomer,BBVA Bancomer Mextrac,171651,95.39999999999999,bbva bancomer servicios,BBVA Bancomer,24637,94.39999999999999
