Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
BURGAN TIER 1 FINANCING LIMITED,2719,CIN,16209,90,"[('CIN', 90), ('Financing', 90), ('Gan', 90), ('INA', 90), ('Gan', 90), ('NCI Inc', 90), ('Gan', 90), ('Ibks Smart SME Special Purpose Acquisition Number 1', 86), ('Burgan Bank', 86), ('Bimp (1/2)', 86)]"
NBK TIER 1 FINANCING LIMITED,2723,CIN,16209,90,"[('CIN', 90), ('Financing', 90), ('INA', 90), ('NCI Inc', 90), ('Ibks Smart SME Special Purpose Acquisition Number 1', 86), ('Sparebank 1 Ringerike Hadeland', 86), ('1 National Bank Fredericksburg', 86), ('Banca San Paolo Brescia 1/1/98', 86), ('Bimp (1/2)', 86), ('Corporate Asset Backed Cabco Series 2002-1 Trust', 86)]"
Bank of China Limited,2724,Bank of China 'A',3372,95,"[(""Bank of China 'A'"", 95), (""Bank of China 'H'"", 95), (""Industrial and Commercial Bank of China 'A'"", 90), (""Agricultural Bank of China 'A'"", 90), (""Postal Savings Bank of China 'H'"", 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
ADCB STRUCTURING II (CAYMAN) LIMITED,2725,Cayman Corporation,78346,90,"[('Cayman Corporation', 90), ('Ring', 90), ('Allegiant Capital Trust II', 86), ('American Affordable Housing II Limited Partnership', 86), ('BBC Capital Trust II', 86), ('City Holding Capital Trust II Capital Securities', 86), ('Corts Trust Allstate Fininvest Gestione Fondi II Corts 8.00', 86), ('Corts Trust II Goldman Sachs Corporate Backed Trust Securities Class A Certificate', 86), ('GCB Capital Trust II', 86), ('Haven Capital Trust II Capital Securities', 86)]"
HSBC BANK MIDDLE EAST LIMITED,2726,Security Bank,136665,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('DLE', 90), ('Security Bank', 90), ('Select Bank', 86)]"
BURGAN SENIOR SPC LIMITED,2727,Senior,258,90,"[('Senior', 90), ('Gan', 90), ('Eni', 90), ('Gan', 90), ('NIO Inc', 90), ('Gan', 90), ('Burgan Bank', 86), ('Provident Financial Group 8.375% Senior Notes', 86), (""Shenzhen Senior Technology Material 'A'"", 86), ('R R Securities', 86)]"
State Bank of India,2728,State Bank of India,136934,100,"[('State Bank of India', 100), ('State Bank of India', 100), ('Bank of India', 95), ('State Bank of India GDR', 95), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
KUWAIT PROJECTS CO SPC LIMITED,2729,CTS,19730,90,"[('CTS', 90), ('Project Corporation', 90), ('AIT', 90), ('Asahi Infrastructure and Projects', 86), ('Kuwait Process Plant Construction and Contracting', 86), ('PSP Projects', 86), ('Rkec Projects', 86), ('Scan Projects', 86), ('Gulf Projects', 86), ('Kuwait Building Materials Manufacturing', 86)]"
EQUATE Sukuk SPC Limited,2730,At Trust,57028,90,"[('At Trust', 90), ('K&S', 90), ('SP', 90), ('SP', 90), ('S E', 86), ('C&S', 86), ('S E S', 86), ('T T', 86), ('Albilad Saudi Sovereign Sukuk ETF', 86), ('SP Funds Dow Jones Global Sukuk ETF', 86)]"
BANK OF CHINA (DUBAI) BRANCH,2731,Security Bank,136665,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Protective Products of America (Non-NASDAQ OTC)', 86), ('China Conch Environment Protection Holdings', 86)]"
NBK SPC LIMITED,2732,K&S,62703,90,"[('K&S', 90), ('SP', 90), ('SP', 90), ('SPCG', 77), ('SPVC Capital', 77), ('NBSC', 73), ('PCD', 72), ('PCI', 72), ('PCW', 72), ('PCT', 72)]"
Emirates Semb Corp Water and Power Company PJS,2734,Trust Company,34779,90,"[('Trust Company', 90), (""Aecc Aviation Power 'A'"", 86), ('Air Asia Company', 86), ('Danish Aerospace Company', 86), ('A Baumann and Company', 86), (""Kipp and Zonen 'A'"", 86), ('Sellier and Bellot', 86), (""Sungrow Power Supply 'A'"", 86), ('Plug Power', 86), ('Ceres Power Holdings', 86)]"
ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTIO,2735,National,277110,90,"[('National', 90), ('National', 90), ('National', 90), ('Trust Company', 90), ('National', 90), ('National', 90), ('Air Asia Company', 86), ('Butler National', 86), ('Danish Aerospace Company', 86), ('National Aerospace Fasteners', 86)]"
OZTEL HOLDINGS SPC LIMITED,2736,Holdings,169490,90,"[('Holdings', 90), ('Holdings', 90), ('Holdings', 90), ('Holdings', 90), ('LDI Corporation', 90), ('ZTE Corporation', 90), ('Corporation Holding', 90), ('Holdings', 90), ('Aerojet Rocketdyne Holdings', 86), ('China Aircraft Leasing Group Holdings', 86)]"
State Bank of India (DIFC Branch),2737,State Bank of India,136934,90,"[('State Bank of India', 90), ('Bank of India', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('State Bank', 90)]"
Network International Holdings PLC,2738,International Holdings,120500,95,"[('International Holdings', 95), ('International Holdings', 95), ('International Holdings', 95), ('International Capital Network Holdings', 95), ('Network Holdings International', 95), ('International Holdings', 95), ('NET1 International Holdings', 91), ('H&H International Holdings', 91), ('Holdings', 90), ('National', 90)]"
