Target Name,Target No.,preprocessed,Focus Text,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
Adani Welspun Exploration Ltd.,11951,adani welspun exploration,adani,Adani Enterprises,97107,99.57000000000001,Adani Enterprises (National India),220958,99.57000000000001,Adani Enterprises (Detached),223177,99.57000000000001,Adani Transmission,23935,99.51,Adani Green Energy Limited,23934,99.51,Adani Green Energy,97102,99.51,Adani Transmissions Limited,97109,99.5,Adani Power,97164,99.5,Adani Power (National India),220959,99.5,Adani Wilmar,97195,99.49
adidas International Finance B.V.,16219,adidas b.v.,adidas,Adidas N (Milan),267489,99.74,Adidas,87384,99.71,Adidas (XETRA),87883,99.71,Adidas (New Shares),164628,99.71,Adidas (XETRA) (New Shares),164629,99.71,Adidas (BUD),216643,99.71,Adidas (Mexico),216644,99.71,Adidas (Bucharest),223673,99.71,Adidas (Swiss Stock Exchange),223674,99.71,Adidas (Swiss Stock Exchange),227017,99.71
Aditya Birla Minacs Worldwide Limited,11639,aditya birla minacs worldwide,aditya,Aditya Birla Minerals,59,99.72,Aditya Birla Minerals (Non-NASDAQ OTC),233974,99.72,Aditya Birla Minerals (Frankfurt),276357,99.72,Aditya Birla Minerals (XETRA),309517,99.72,Aditya Birla Chemicals India,23947,99.7,Aditya Birla Financial Services,97257,99.7,Aditya Birla Money,98349,99.68,Aditya Birla Sun Life AMC,97258,99.67,Aditya Birla Nuvo,23948,99.65,Aditya Birla Nuvo,164633,99.65
"AECOM GLOBAL II, LLC",24026,aecom global ii,aecom,Aecom Technology (XETRA),304295,99.52,Aecom,133456,99.5,Aecom (BRN),223690,99.5,Aecom (Pet),250941,99.5,Aecom (Frankfurt),260965,99.5,AEC Holdings,52008,99.33,AEC Inc,62068,99.33,OM Holdings,3117,99.24,OM,43231,99.24,AE,44716,99.24
AEGIS GAS (LPG) PRIVATE LIMITED,11750,aegis gas private,aegis,Aegis Realty,78574,99.62,Aegis Industries,62070,99.61,Aegis Espana Limited Data,14214,99.59,Aegis Logistics,97260,99.56,Aegis Investment Management (Golf),4842,99.55,Aegis Brands,81019,99.55,Aegis Brands (Non-NASDAQ OTC),243461,99.55,Aegis Brands (Frankfurt),260967,99.55,Aegis Assessments,69680,99.53,Aegis Assessments (Berlin),283993,99.53
Aegis Group Capital (Jersey) Limited,12449,aegis capital,aegis,Aegis Realty,78574,99.64,Aegis Espana Limited Data,14214,99.6,Aegis Logistics,97260,99.57000000000001,Aegis Group,44718,99.56,Aegis,62069,99.56,Aegis Group (Paris-SBF),220971,99.56,Aegis Group (VIRT-X),231471,99.56,Aegis Group (Non-NASDAQ OTC),234002,99.56,Aegis Group (Frankfurt),276384,99.56,Aegis Group (XETRA),309544,99.56
AES Argentina Generacion S.A.,2810,aes argentina generacion,aes,AES China Generating A,69694,99.7,AES Tiete Energia On,150377,99.64,AES Tiete Energia PN,150378,99.59,Caesars Entertainment,59315,99.58,Caesars Entertainment,63221,99.58,Caesars Entertainment,133487,99.58,Caesars Entertainment,148773,99.58,Caesars (Mexico) Entertainment,217005,99.58,Caesars (MIC) Entertainment,224047,99.58,Caesars (Frankfurt) Entertainment,261897,99.58
"AES CHANGUINOLA, S.A.",16760,aes changuinola,aes,Aesculap,14227,99.61,AES Chemunex,14225,99.59,AES China Generating A,69694,99.59,Daesang,118092,99.55,Daesang Holdings,118093,99.55,AES Rivneoblen,41115,99.55,Maestro Capital,9831,99.53,Daesang Trading Company,33743,99.53,Aeso Holding,98378,99.52,Aeso Holding (Temp),164656,99.52
AES Chivor & CIA S.C.A. E.S.P.,7311,aes chivor & cia s.c.a. e.s.p.,aes,Caesars Acquisition Class A,59314,99.42,AES China Generating A,69694,99.42,Caesars Acquisition (Frankfurt) Class A,277303,99.42,AES Alicura Sociedad Anonima,75,99.41,AES Trust I Tecons Service 'A',62077,99.41,AES Laboratoires GPE,14226,99.4,Aesthetic Medical International Holdings Group ADR 1:3,139227,99.4,AES Tiete Energia PN,150378,99.4,Aesthetic Medical (Frankfurt) International Holdings Group ADR 1:3,267553,99.4,AES Tiete Energia ADR 1:1,202343,99.4
