Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
AGCO International Holdings B.V.,16496,agco international holdings b.v.,agco,AGCO Preferred Convertible 1/10 Share,192475,87.6,agco international,International,206505,91.6,agco international holdings,SA SA International Holdings,104062,96.19999999999999
BMW International Investment B.V.,16412,bmw international investment b.v.,bmw,BMW (SEAQ International),221266,92.0,bmw international,International,206505,91.39999999999999,bmw international investment,National Investment,43131,94.6
AC ENERGY FINANCE INTERNATIONAL LIMITED,15025,ac energy finance international,ac,Centrack International,53067,95.0,ac energy,AC Energy Corporation,106261,93.0,ac energy finance,AC Energy,69560,89.0
GRAN TIERRA ENERGY INTERNATIONAL HOLDINGS LTD.,15013,gran tierra energy international holdings,gran,Gran Tierra Energy (Toronto),212524,94.0,gran tierra,Gran Tierra Energy (Toronto),212524,94.0,gran tierra energy,Gran Tierra Energy (Toronto),212524,94.0
NB FINANCE LTD.,14971,nb finance,nb,HNB Finance,119459,99.0,nb finance,HNB Finance,119459,99.0,nb finance,HNB Finance,119459,99.0
"VLL INTERNATIONAL, INC.",14935,vll international,vll,Villar International Limited,98168,72.0,vll international,International,206505,97.39999999999999,vll international,International,206505,97.39999999999999
Wurth Finance International B.V.,16161,wurth finance international b.v.,wurth,Uniworth International,105530,77.39999999999999,wurth finance,INA,65640,83.4,wurth finance international,International,206505,91.6
OP Financial Ltd,10264,op financial,op,Peoples Financial,131268,96.6,op financial,Financial Securities,72530,97.19999999999999,op financial,Financial Securities,72530,97.19999999999999
ABB International Finance Limited,9993,abb international finance,abb,Aabbax International Financial,4718,97.39999999999999,abb international,International,206505,93.6,abb international finance,National Finance,43130,95.6
AVON INTERNATIONAL CAPITAL P.L.C.,9922,avon international capital p.l.c.,avon,Avon Protection (Non-NASDAQ OTC),243951,89.8,avon international,International,206505,91.39999999999999,avon international capital,National Capital,75093,93.0
CCB International (Holdings) Limited,10402,ccb international (holdings),ccb,CCBT Financial (Berlin),300094,92.6,ccb international,TCC International Holdings,30848,93.8,ccb international (holdings),SA SA International Holdings,104062,93.6
Henson International Finance Ltd,10375,henson international finance,henson,Stephensons Rental Services Income Fund,12583,90.2,henson international,International,206505,92.6,henson international finance,National Finance,43130,94.6
AON GLOBAL HOLDINGS PLC,9781,aon global holdings,aon,Seraon Holdings,39097,94.2,aon global,Titan Global Holdings,58056,90.0,aon global holdings,Global Holdings,54693,97.6
ICAP Group Holdings PLC,9396,icap group holdings,icap,Icape Holding,93571,95.0,icap group,TP ICAP Group,124853,92.39999999999999,icap group holdings,APX Group Holdings Inc,70084,96.0
GE Capital Interbanca S.p.A.,12149,ge capital interbanca,ge,GE Capital Bank,167005,95.6,ge capital,GE Capital Bank,167005,95.6,ge capital interbanca,Interbanca,18826,93.0
P2P Global Investments PLC,9661,p2p global investments,p2p,P2P Transport,3171,89.2,p2p global,Global,109885,88.6,p2p global investments,Global Investments,119073,98.0
ELLI INVESTMENTS LIMITED,9533,elli investments,elli,Mellin Industries,55957,93.39999999999999,elli investments,Investments,42565,96.19999999999999,elli investments,Investments,42565,96.19999999999999
YGR International Limited,9477,ygr international,ygr,Moneygram International,134650,97.0,ygr international,International,206505,97.39999999999999,ygr international,International,206505,97.39999999999999
FAGE International S.A.,15345,fage international,fage,Fagerlid Industrier,42098,90.8,fage international,International,206505,96.8,fage international,International,206505,96.8
Repsol International Finance BV,16116,repsol international finance bv,repsol,Repsol SA (SEAQ International),296774,93.8,repsol international,Repsol International Capital Preferred 'A' 7.45%,146873,92.6,repsol international finance,National Finance,112023,93.6
