Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
RN Financial Structures B.V.,16159,rn financial structures b.v.,rn,RN Holding,38708.0,,,Copernican World Financial Infrastructure Trust,6832,99.64,Swarnamahal Financial Services,39769,99.62,First Western Financial Ventures,7943,99.6,Western Financial Group Subscription Receipt,161993,99.58,Copernican International Financial Split Class A,6829,99.58,FRNT Financial,83177,99.57000000000001,FRNT Financial (Frankfurt),263252,99.57000000000001,Southern Financial Bancorp (Berlin),303166,99.56,Copernican International Financial Split Preferred,157480,99.56,Kearny Financial,134482,99.55
"ROAD INFRASTRUCTURE INVESTMENT HOLDINGS, INC.",23420,road infrastructure,road,Country Road,1278.0,Iron Road (Non-NASDAQ OTC),246468.0,Road King Infrastructure,103979,99.88,Road King Infrastructure (HKSE Connect Equity),218702,99.88,Road King Infrastructure (SZS),218703,99.88,Road King Infrastructure (Non-NASDAQ OTC),248431,99.88,Road King Infrastructure (Berlin),288963,99.88,Broadview Institute,52825,99.63,Roador Industries,11805,99.61,Broad Street Group,45666,99.58,Broadway Industries (Berlin),299947,99.58,Broad Street Realty,128504,99.58
ROAD MANAGEMENT CONSOLIDATED PLC,8995,road management consolidated,road,Country Road,1278.0,Iron Road (Non-NASDAQ OTC),246468.0,Lang Son Road Management and Consolidated,126211,99.81,Road Management and Construction 26,50175,99.67,Roadman Investments,85859,99.55,Roadman Investments (Non-NASDAQ OTC),248432,99.55,Roadman Investments (Frankfurt),281544,99.55,Road Environment Technology 'A',95367,99.54,Broad Investments,906,99.53,Broad Investments (Berlin),284886,99.53,Broadcasting System of Niigata,108382,99.52,Broadcast Communication,70678,99.51
Roche Finance Europe BV,16214,roche europe bv,roche,Roche Products,29709.0,Roche Holding (Non-NASDAQ OTC),248438.0,Roche Service Group,50185,99.64,Rochester Resources,85861,99.59,Roche Bobois,95374,99.59,Rochester Resources (Non-NASDAQ OTC),248439,99.59,Rochester Resources (Frankfurt),265824,99.59,Roche Bobois (Frankfurt),274051,99.59,Rochester Resources (XETRA),315144,99.59,CF Rocher de Naye B,41621,99.59,Roche Holdings 'B',176154,99.58,Roche Holdings 'B' (Non-NASDAQ OTC),250670,99.58
Roche Kapitalmarkt AG,5579,roche kapitalmarkt,roche,Roche Products,29709.0,Roche Holding (Non-NASDAQ OTC),248438.0,Roche Products,29709,99.56,Rochette (La),21640,99.54,Rochem Environmental,57212,99.53,Rochester and Pittsburgh,76544,99.52,Roche Holdings ADR 8:1,190404,99.52,Roche Holdings ADR 4:1 (Mexico),223483,99.52,Roche Holdings ADR (Frankfurt) 8:1,259221,99.52,Roche Holdings ADR 4:1 (XETRA),292330,99.52,Rochester Medical,61168,99.51,Rochester Medical (Berlin),288975,99.51
ROCHELLE BUILDERS & CONSTRUCTIONS PRIVATE LIMI,11980,rochelle builders & constructions private limi,rochelle,,,,,Chell Group,53127,99.2,El Company,109292,99.08,El Company,227555,99.08,C Holdings,24873,99.04,O-Bank,115989,99.04,Ellen Group,46846,88.31,Ellen,118541,88.31,Rockelle,131694,87.38000000000001,Rockelle (Berlin),302875,87.38000000000001,Eurocell,125671,85.4
ROCKFORD BANK AND TRUST COMPANY,23163,rockford and,rockford,Rockford,57215.0,,,Rockford,57215,99.8,Rockford (Berlin),288980,99.8,Rockford (XETRA),308124,99.8,Rockford Industries,76548,99.71,Rockford Technology,11814,99.65,Rockford Minerals Rights Expired 18/12/89,216038,99.42,OCK Group,112385,99.4,C Holdings,24873,99.15,K Group Holdings,101827,99.15,O-Bank,115989,99.15
ROCKIES EXPRESS PIPELINE LLC,22159,rockies express pipeline,rockies,Rockies Fund,76549.0,,,Rockies Region 2006 Limited Partnership,76550,99.55,Rockies Fund,76549,99.5,CKI Holdings,97169,99.22,OCK Group,112385,99.22,IES Holdings,136973,99.22,CKI Holdings (HKSE Connect Equity),217332,99.22,CKI Holdings (SZS),217333,99.22,CKI Holdings (Non-NASDAQ OTC),244712,99.22,IES Holdings (Frankfurt),263834,99.22,CKI Holdings (Frankfurt),269144,99.22
Rockville Bank,23370,rockville,rockville,,,,,CKV,91942,99.5,OCK Group,112385,99.5,C Holdings,24873,99.2,K Group Holdings,101827,99.2,O-Bank,115989,99.2,V Group,132515,99.2,BNB Bancorp Brookville Ohio,52744,88.55,Killi (Non-NASDAQ OTC),237592,79.77000000000001,Killi (Berlin),287394,79.77000000000001,Tricoville,51213,77.96
"Rockville Financial, Inc.",20495,rockville financial,rockville,,,,,CKV,91942,99.27,OCK Group,112385,99.27,C Holdings,24873,99.1,K Group Holdings,101827,99.1,O-Bank,115989,99.1,V Group,132515,99.1,BNB Bancorp Brookville Ohio,52744,88.54,Killi (Non-NASDAQ OTC),237592,79.62,Killi (Berlin),287394,79.62,Rock Hill Bank and Trust,79862,77.84
"Rockwood Specialties Group, Inc.",21822,rockwood specialties,rockwood,Rockwood Holdings,50190.0,,,Rockwood National,57219,99.65,Rockwood Holdings,50190,99.57000000000001,Rockwood Holdings,61174,99.57000000000001,Rockwood Holdings,76554,99.57000000000001,Rockwood Holdings (Frankfurt),281563,99.57000000000001,Rockwood Holdings (XETRA),308126,99.57000000000001,Wood (Arthur),51741,99.33,Wood Group (John),124651,99.33,Wood Group (John) (Non-NASDAQ OTC),249925,99.33,Wood Group (John) (Frankfurt),276076,99.33
RODONORTE - Concessionaria de Rodovias Integra,4111,rodonorte  concessionaria de rodovias integra,rodonorte,,,,,Banco Norte,32884,99.2,Don,25606,99.12,Don Group,33963,99.12,ONO Finance,49486,99.12,RTE,67852,99.12,Don Group,178199,99.12,Company Don (Non-NASDAQ OTC),235461,99.12,Ort (Non-NASDAQ OTC),238861,99.12,Company On,1218,99.09,RT Group,50230,99.09
Rodovia das Cataratas S/A Ecocataratas,4223,rodovia das cataratas s/a ecocataratas,rodovia,,,,,Ecorodovias Concessoes E Servicos SA,1511,99.48,Companhia Cocs Rodoviarias On,80500,99.36,Via Holdings,114753,99.15,IA,119645,99.1,O-Bank,115989,99.05,V Group,132515,99.05,Mordovia Energy Distributing,121080,85.53,Svyform Mordovia Preferred,210199,85.48,Prodvinalco,38376,85.47,Prodvinalco,112911,85.47
