Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
ADANI WIND ENERGY (GUJARAT) PRIVATE LIMITED,11881,adani wind energy (gujarat) private,adani,Adani Enterprises,97107,90.8,adani wind,ADA,90971,83.2,adani wind energy,Energy,79025,85.8
ADANI WIND ENERGY (TN) LIMITED,11945,adani wind energy (tn),adani,Adani Green Energy Limited,23934,94.0,adani wind,Win,51715,84.8,adani wind energy,Security Energy,12054,88.6
ADANI WIND ENERGY KUTCHH FIVE LIMITED,11991,adani wind energy kutchh five,adani,Adani Green Energy,97102,92.0,adani wind,Win,51715,83.8,adani wind energy,Energy,79025,86.8
ADITYA BIRLA ARC LIMITED,11934,aditya birla arc,aditya,Aditya Birla Nuvo,23948,95.8,aditya birla,Aditya Birla Nuvo,164633,95.8,aditya birla arc,Birla,165313,89.6
ADITYA BIRLA FINANCE LIMITED,11857,aditya birla finance,aditya,Aditya Birla Money,98349,95.8,aditya birla,Aditya Birla Money,98349,95.8,aditya birla finance,Aditya Birla Financial Services,97257,91.6
Aditya Birla Finance Limited,11492,aditya birla finance,aditya,Aditya Birla Money,98349,95.8,aditya birla,Aditya Birla Money,98349,95.8,aditya birla finance,Aditya Birla Financial Services,97257,91.6
Aditya Birla Housing Finance Limited,11688,aditya birla housing finance,aditya,Aditya Birla Sun Life AMC,97258,94.39999999999999,aditya birla,Aditya Birla Sun Life AMC,97258,94.39999999999999,aditya birla housing,Birla,165313,86.0
Aditya Birla Minacs Worldwide Limited,11639,aditya birla minacs worldwide,aditya,Aditya Birla Minerals,59,94.39999999999999,aditya birla,Aditya Birla Minerals,59,94.39999999999999,aditya birla minacs,Birla,165312,85.8
ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITE,11726,aditya birla sun life insurance company limite,aditya,Aditya Birla Sun Life Nifty IT ETF,162186,94.0,aditya birla,Aditya Birla Sun Life Nifty IT ETF,162186,94.0,aditya birla sun,Aditya Birla Sun Life Nifty IT ETF,162186,94.0
AEP Texas Central Company,20771,aep texas central company,aep,AEP Texas Central 4% Preferred,142258,93.8,aep texas,AEP Texas Central 4% Preferred,142258,93.8,aep texas central,AEP Texas Central 4% Preferred,142258,93.8
AEP Texas Central Transition Funding II LLC,22525,aep texas central transition funding ii,aep,AEP Texas Central 4% Preferred,142258,92.2,aep texas,AEP Texas Central 4% Preferred,142258,92.2,aep texas central,AEP Texas Central 4% Preferred,142258,92.2
AEP TEXAS INC.,21944,aep texas,aep,AEP Industries,58909,92.2,aep texas,EXA,59850,90.0,aep texas,EXA,59850,90.0
AEP Texas North Company,20772,aep texas north company,aep,AEP Generating Company,62072,94.2,aep texas,AEP Texas North 4.4% Preferred,142259,92.8,aep texas north,AEP Texas North 4.4% Preferred,142259,92.8
AIG GLOBAL FUNDING,24066,aig global funding,aig,Aigner Holding,4899,92.39999999999999,aig global,Global Securities,100799,90.0,aig global funding,Global Securities,100799,90.0
"AIG LIFE HOLDINGS, INC.",23646,aig life holdings,aig,Aigner Holding,4899,95.39999999999999,aig life,Life,106808,87.6,aig life holdings,Trust Holdings,51235,92.8
AIG Matched Funding Corp.,21728,aig matched funding corp.,aig,Saigon Thuong Tin Commercial,124827,90.6,aig matched,AI,107553,83.0,aig matched funding,At Trust,45099,83.0
AIG SunAmerica Global Financing X,22449,aig sunamerica global financing x,aig,Aigner Holding,4899,90.2,aig sunamerica,Sunamerica,200871,89.4,aig sunamerica global,Sunamerica,200871,89.4
ALL  America Latina Logistica Malha Sul S.A.,4210,all  america latina logistica malha sul,all,All America Latina Logistica Unit 144A GDR 1:1,202445,94.6,all ,All America Latina Logistica Unit 144A GDR 1:1,202445,94.6,all  america,All America Latina Logistica Unit 144A GDR 1:1,202445,88.2
All America Latina Logistic Malha Norte S.A.,3978,all america latina logistic malha norte,all,All America Latina Logistica Unit 144A GDR 1:1,202445,94.6,all america,All America Latina Logistica Unit 144A GDR 1:1,202445,94.6,all america latina,All America Latina Logistica Unit 144A GDR 1:1,202445,94.6
All America Latina Logistica Mahla Paulista S.,4037,all america latina logistica mahla paulista s.,all,All America Latina Logistica Unit 144A GDR 1:1,202445,94.8,all america,All America Latina Logistica Unit 144A GDR 1:1,202445,94.8,all america latina,All America Latina Logistica Unit 144A GDR 1:1,202445,94.8
