Target Name,Target No.
AGFC CAPITAL TRUST I,22263
AGGREGATED MICRO POWER INFRASTRUCTURE 2 PLC,9836
AGGREGATED MICRO POWER INFRASTRUCTURE LIMITED,9747
AGL Capital Corporation,21647
Agos-Ducato S.p.A.,12264
Agra Empreendimentos Imobiliarios S.A.,4004
AGREE LIMITED PARTNERSHIP,23325
Agricultural Bank Financial Assets Investment,7184
Agrium U.S. Inc,23785
AGV Logistica S.A.,4274
AHB SUKUK COMPANY LTD.,14927
"Ahold Finance U.S.A., LLC",21537
AHOLD Lease Series 2001-A-1 Pass Through Trust,21704
Ahold Lease Series 2001-A-2-Pass Through Trust,21705
"AHP HEALTH PARTNERS, INC.",24673
AHUJA HIVE PRIVATE LIMITED,11998
AHV Access Health Vancouver Ltd.,5144
AIB MORTGAGE BANK,10955
AIG-FP Capital Funding Corp.,21978
AIG-FP Matched Funding Corp.,22014
AIG-FP Private Funding Cayman Limited,14773
AIG-Mezzvest Funding Limited,21804
AIGP DEVELOPERS (PUNE) PRIVATE LIMITED,11807
"Aigues de Barcelona Finance, S.A.U.",8132
"Aigues de Barcelona, Empresa Metropolitana de",8131
"Aioi Nissay Dowa Insurance Company, Limited",12520
Air Liquide Finance,8429
Air Liquide U.S. LLC.,22565
Airbus Group Bank GmbH,7749
AIRCRAFT LEASE SECURITISATION II LIMITED,3897
AirPlus Air Travel Card Vertriebsgesellschaft,2894
Airports of Thailand Public Company Limited,18072
AIRTEL BROADBAND SERVICES PRIVATE LIMITED,11640
AK Finansal Kiralama Anonim Sirketi,18260
AK Steel Corporation,21301
AK YATIRIM MENKUL DEGERLER ANONIM SIRKETI,18270
Akademibokhandeln Holding AB (publ),17678
AKB SVYAZ'-BANK PAO,17220
Aktia Livforsakring Ab,8245
"Aktsionernyi Kommercheskii Bank ""Absoliut Bank",17215
Akzo Nobel Finance BV,16184
Akzo Nobel Sweden Finance AB,17563
AL SHINDAGHA SUKUK LIMITED,14956
Alabama Gas Corporation,21004
Alabama National Statutory Trust III,21886
Alabama Power Company,20774
ALAM SYNERGY PTE. LTD.,17898
Alaris Royalty Corp,5135
ALBANK Capital Trust I,21856
Albemarle New Holding GMBH,7839
ALBEMARLE WODGINA PTY LTD,3686
Alberta PowerLine Limited Partnership,5392
Albula-Landwasser Kraftwerke AG,5580
Alcoa Inc,499
Alcoa Nederland Holding BV,16420
ALCON FINANCE CORPORATION,24824
ALDAR SUKUK (NO.2) LTD.,15036
ALDAR SUKUK LTD.,15021
Alectra Inc.,5376
Alehouse Finance PLC,9073
ALERIS CORPORATION,23388
ALESAT COMBUSTIVEIS S.A.,4281
ALESTRA S DE RL DE CV,15575
"ALEX ALPHA, LLC",23550
ALFA BOND ISSUANCE PUBLIC LIMITED COMPANY,10954
Alfa Laval Treasury International AB,17612
Algarve International B.V.,16195
ALGECO SCOTSMAN GLOBAL FINANCE PLC,9540
Algeco/Scotsman Holding S.a r.l.,15247
ALGOMA POWER INC,5364
Algonquin Power Co.,5424
Alianca Geracao de Energia S.A.,4387
ALIANT INC,1940
ALION SCIENCE AND TECHNOLOGY CORPORATION,21969
ALLCHECKDEALS INDIA PRIVATE LIMITED,11906
"ALLEGHENY ENERGY SUPPLY COMPANY, LLC",21642
Allegheny Ludlum Corporation,22340
"Allegheny Ludlum, LLC",24260
Allegion US Holding Company Inc.,23679
"ALLERGAN SALES, LLC",23952
Allfirst Preferred Capital Trust,21564
Alliander N.V.,16190
"ALLIANT ENERGY FINANCE, LLC",24665
Allstate Life Global Funding,21922
Allstate Life Global Funding II,21826
ALLY BANK,22191
ALMARAI SUKUK LTD.,15028
ALMAVIVA - THE ITALIAN INNOVATION COMPANY S.P.,12308
ALME LOAN FUNDING III DESIGNATED ACTIVITY COMP,11040
"Alon Refining Krotz Springs, Inc.",22520
ALPINE Holding GmbH,2889
ALPINE SECURITIZATION LTD,14988
ALPS Capital II PLC,10972
Alrosa Finance S.A.,15156
ALSOL ENERGIAS RENOVAVEIS S/A,4498
Alstom N.V.,16307
"ALTA MESA HOLDINGS, LP",22341
"ALTA WIND HOLDINGS, LLC",23050
Altadis Emisiones Financieras S.A.U,8052
Altadis Finance B.V.,16223
"AltaLink Investments, L.P.",5116
"Altalink, L.P.",5066
Alternatif Finansal Kiralama A.S.,18263
"ALTERNEGY, S.A.",16765
Alterra Finance LLC,23075
Altisource Residential Corp,25433
ALTIUM PACKAGING LLC,21559
Alto Parana S.A.,2784
ALTUS MIDSTREAM LP,24776
Alxa Zuoqi Urban Construction Investment Devel,6843
"Amadeus Capital Markets, S.A., Sociedad Uniper",8105
Amadeus Finance B.V.,16377
AMALGAMATED BANK,22216
Amangeldy Gas limited liability partnership,15069
Amata B. Grimm Power SPV 1 Company Limited,18163
Amazonas Geracao e Transmissao de Energia S.A.,4525
AMB Property Corp.,19375
AMBA RIVER COKE LIMITED,11701
Ambac Assurance Corporation,21732
AMBAC ASSURANCE UK LIMITED,9098
"Ambac LSNI, LLC",24615
AmBank (M) Berhad,15819
AMBAR URUGUAIANA ENERGIA S.A.,4560
AMBB Capital (L) Ltd,15846
AMBER CIRCLE FUNDING LIMITED,14915
Ambient Servicos Ambientais de Ribeirao Preto,4191
Amcor Finance (USA) Inc,22414
"Amcor Flexibles North America, Inc.",25122
AMCOR UK FINANCE PLC,9544
"AMERANT BANK, NATIONAL ASSOCIATION",22462
Ameren Energy Generating Company,21646
AMERIANA CAPITAL TRUST I,22677
American Campus Communities Operating Partners,22871
American Capital Agency Corp,22505
"American Express Bank, FSB",22003
American Express Centurion Bank,21191
American General Institutional Capital A,21461
AMERICAN MUN PWR OHIO INC REV,22599
American National Insurance Company,19456
"American Premier Underwriters, Inc.",21152
"American President Lines, Ltd",21129
"American Realty Capital Properties, Inc.",23281
American Reprographics Company,19114
American Southern Bank,22652
American State Bank,22754
American Stores Company LLC,21147
AMERICAN TRANSMISSION COMPANY LLC,21658
American Transmission Systems Inc.,22865
AMERICUS REAL ESTATE PRIVATE LIMITED,11977
AMERIGAS FINANCE CORP.,21233
"AMERIGAS PROPANE, INC.",22810
"AmeriKing, Inc.",19350
"Ameriprise Bank, FSB",23003
AMERIS BANK,22606
Ameritech Capital Funding Corporation,21112
AMG Capital Trust I,20773
AMG Capital Trust II,20966
Amigo Luxembourg S.A.,15357
Amipeace Limited,25300
AMISHI BUILDERS & DEVELOPERS PRIVATE LIMITED,11978
AmIslamic Bank Berhad,15853
AmMortgage One Berhad,15884
AMP (UK) plc,9006
AMP Bank Limited,3283
AMP Capital Wholesale Office Fund,3444
AMP Group Finance Services Limited,3273
AMP LIFE LIMITED,3402
Amphenol Technologies Holding GmbH,7816
AMPHISSA CORPORATION SDN. BHD.,15881
AmPremier Capital Berhad,15879
AMTD Group Company Limited,10560
AmTrust Capital Financing Trust I,22386
AmTrust Capital Financing Trust II,22513
AMUN SOLARFARMS LIMITED,11851
AN Structured Issues Limited,12391
ANA Aeroportos de Portugal S.A.,17060
Anadarko Finance Company,21675
ANAPTYXI II PLC,9696
ANCHOR CAPITAL TRUST III,22083
ANGEL TRAINS GROUP LIMITED,9255
"ANGI GROUP, LLC",25054
Angie's List Inc,23322
ANGLIAN WATER (OSPREY) FINANCING PLC,9481
Anglian Water Services Financing Plc,9125
ANGLIAN WATER SERVICES LIMITED,9240
Anglogold Ashanti Holdings Finance Plc,11196
AngloGold Ashanti Holdings plc,11194
"Anheuser-Busch InBev Worldwide, Inc.",22698
Anixter Inc.,21328
"Anixter Pentacon, Inc.",21506
"Anji Leasing Co., Ltd.",7222
ANLLIAN Capital Limited,10632
ANNES GATE PROPERTY PLC,9124
ANSTOCK II LIMITED,14948
Anstock Limited,10465
ANTARA STEEL MILLS SDN. BHD.,15843
ANTERO RESOURCES FINANCE CORPORATION,22927
"Anthem Insurance Companies, Inc.",21674
Antonveneta Capital Trust I,21811
Antonveneta Capital Trust II,21812
ANZ Capital Trust III,21968
ANZ National (Int'l) Limited,9287
ANZ New Zealand (Int'l) Limited,16671
ANZ Wealth Australia Limited,3387
AON Corp.,484
"Aon Finance N.S.1, ULC",5091
"Aon Financial Services Luxembourg, S.A.",15202
Aon PLC,9523
Aoyuan Group Company Limited,6913
Apache Corp.,728
Apache Finance Canada Corporation,5034
APACHE FINANCE CANADA LLC,24941
Apartment Investment & Management Compan,759
APERGY CORPORATION,24639
"APEX TOOL GROUP, LLC",23051
APEX TOP GROUP LIMITED,25346
API ESCROW CORP.,25177
APL REALTY HOLDINGS PTE. LTD.,10882
"APLUS Co.,Ltd.",12761
APN Industria REIT,3561
APN Media (NZ) Limited,16708
"Appalachian NPI, LLC",22743
APT Pipelines Limited,3423
"APX GROUP, INC.",23497
"Aqua America, Inc.",19179
AQUARION COMPANY,21497
ARA BINTANG BERHAD,15915
Arab International Lease S.A.,18190
Arabian Aramco Total Services Company JSC,17365
"ARAI&CO., LTD",13645
Aramark International Finance S.a r.l.,15360
"ARAMARK SERVICES, INC.",21116
Araucaria Saneamento S.A.,4275
ARC Energy Trust (ARC Resources Ltd.),4896
"ARC PROPERTIES OPERATING PARTNERSHIP, L.P.",23593
Arcelor SA,1019
ArcelorMittal Finance SCA,15140
ArcelorMittal Holdings AG,5642
ARCH CAPITAL GROUP (U.S.) INC,23784
"Arch Western Finance, LLC",21833
"Arcor Sociedad Anonima, Industrial y Comercial",2796
ARCOUR S.A.,8635
ARCOVERDE TRANSMISSAO DE ENERGIA S.A.,4472
ARD Finance S.A.,15224
ARD Securities Finance S.a r.l.,15373
ARDAGH METAL PACKAGING FINANCE USA LLC,25145
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPAN,10995
Arden Realty Limited Partnership,21617
ARES FINANCE CO. II LLC,24205
ARES FINANCE CO. LLC,24008
Argentaria Global Finance Ltd,14667
Argentina Capital Protected Investments Limite,14701
Argentum Netherlands B.V.,16376
Argo Mortgage S.r.l.,12187
Argosy Gaming Company,21311
ARKEA HOME LOANS SFH S.A.,8521
ARKEA PUBLIC SECTOR SCF S.A.,8546
ARKLE MASTER ISSUER PLC,9311
ARMAZEM MATEUS S.A.,4325
ARQIVA BROADCAST FINANCE PLC,9569
ARQIVA FINANCING PLC,9570
ARQIVA GROUP LIMITED,9568
ARREIT MTN 1 SDN. BHD.,16006
"ARRENDADORA Y FACTOR BANORTE, S.A. DE C.V",15588
ARROW GLOBAL FINANCE PLC,9564
ARTEMIS ALPHA TRUST PLC,8820
Artex SAC Limited,3915
Artists Living Frankfurt Com GmbH & Co. KG,7776
ARVAL SERVICE LEASE SA,8651
Arvin International (UK) PLC,9164
ARVIND LIFESTYLE BRANDS LIMITED,11700
Aryzta Euro Finance Limited,11041
AS DNB banka,15419
ASA BRANCA HOLDING S.A.,4551
Asahi Finance (Cayman) Ltd.,14693
Asanko Gold Inc,4800
ASB Finance Limited,16686
ASB Finance Ltd,9323
Asciano Finance Limited,3467
Ascott Reit MTN Pte. Ltd.,17858
Ashland Services B.V.,16467
Ashtead Capital Inc.,22171
ASHTON WOODS USA L.L.C.,22008
Asia Pacific Silk Road Investment Company Limi,10267
Asian Development Bank,16895
ASIF Global Financing XIX,21795
ASIF II,14711
ASIF III (Jersey) Limited,12404
ASKIM EIENDOMSINVEST II AS,16616
ASM Brescia S.p.A.,12093
ASPIRE HOME FINANCE CORPORATION LIMITED,11683
ASR Bank N.V.,16129
Assa Abloy Financial Services AB,17531
"ASSERTIO THERAPEUTICS, INC.",24706
ASSET FUNDING COMPANY IV LIMITED,22741
"Associated Bank, National Association",21660
ASSURANCES DU CREDIT MUTUEL VIE SA,8642
ASSURED GUARANTY (EUROPE) LTD.,9270
